kulturcode,kulturart 2012,kulturart 2013,kulturart 2014,kulturart 2015,kulturart 2016,kulturart 2017,kulturart 2018,kulturart 2019,kulturart 2020,kulturart 2021,kulturart 2022,kulturart 2023,kulturart 2024,latest_kulturart,all_kulturart,take_latest,take_Gruppe,new_kulturart,new_kulturcode
414,Kohl-Steckrüben,Kohl-Steckrüben,,Kohl-/Steckrüben,"Kohlrübe, Steckrübe","Kohlrübe, Steckrübe","Kohlrübe, Steckrübe","Kohlrübe, Steckrübe","Kohlrübe, Steckrübe","Kohlrübe, Steckrübe","Kohlrübe, Steckrübe","Kohlrübe, Steckrübe","Kohlrübe, Steckrübe","Kohlrübe, Steckrübe","Kohl-Steckrüben, Kohl-/Steckrüben, Kohlrübe, Steckrübe",1,,,
421,Klee,Klee,,Klee (stickstoffbindende Pflanze ÖVF)2,Rot-/Weiß-/Alexandriner-/Inkarnat-/Erd-/Schweden-,Rot-/Weiß-/Alexandriner-/Inkarnat-/Erd-/Schweden-,,"Rot-/Weiß-/Alexandriner-/Inkarnat-/Erd-/Schweden-
/Persischer Klee",Rot-/Weiß-/Alexandriner-/Inkarnat-/Erd-/Schweden-/Persischer Klee,Rot-/Weiß-/Alexandriner-/Inkarnat-/Erd-/Schweden-/Persischer Klee,Rot-/Weiß-/Alexandriner-/Inkarnat-/Erd-/Schweden-/Persischer Klee,Rot-/Weiß-/Alexandriner-/Inkarnat-/Erd-/Schweden-/Persischer Klee,Rot-/Weiß-/Alexandriner-/Inkarnat-/Erd-/Schweden-/Persischer Klee,Rot-/Weiß-/Alexandriner-/Inkarnat-/Erd-/Schweden-/Persischer Klee,"Klee, Klee (stickstoffbindende Pflanze ÖVF)2, Rot-/Weiß-/Alexandriner-/Inkarnat-/Erd-/Schweden-, Rot-/Weiß-/Alexandriner-/Inkarnat-/Erd-/Schweden-
/Persischer Klee, Rot-/Weiß-/Alexandriner-/Inkarnat-/Erd-/Schweden-/Persischer Klee",1,,,
423,Luzerne,Luzerne,,Luzerne2,"Luzerne, Hopfenklee/Gelbklee, Bastardluzerne/Sandluzerne²","Luzerne, Hopfenklee/Gelbklee, Bastardluzerne/Sandluzerne","Luzerne, Hopfenklee/Gelbklee, Bastardluzerne/Sandluzerne","Luzerne, Hopfenklee/Gelbklee, Bastardluzerne/Sandluzerne","Luzerne, Hopfenklee/Gelbklee, Bastardluzerne/Sandluzerne","Luzerne, Hopfenklee/Gelbklee, Bastardluzerne/Sandluzerne","Luzerne, Hopfenklee/Gelbklee, Bastardluzerne/Sandluzerne","Luzerne, Hopfenklee/Gelbklee, Bastardluzerne/Sandluzerne","Luzerne, Hopfenklee/Gelbklee, Bastardluzerne/Sandluzerne","Luzerne, Hopfenklee/Gelbklee, Bastardluzerne/Sandluzerne","Luzerne, Luzerne2, Luzerne, Hopfenklee/Gelbklee, Bastardluzerne/Sandluzerne², Luzerne, Hopfenklee/Gelbklee, Bastardluzerne/Sandluzerne",1,,,
425,,,,Klee-Luzerne-Gemisch2,Klee-Luzerne-Gemisch2,Klee-Luzerne-Gemisch,Klee-Luzerne-Gemisch,Klee-Luzerne-Gemisch,Klee-Luzerne-Gemisch,Klee-Luzerne-Gemisch,Klee-Luzerne-Gemisch,Klee-Luzerne-Gemisch,Klee-Luzerne-Gemisch,Klee-Luzerne-Gemisch,"Klee-Luzerne-Gemisch2, Klee-Luzerne-Gemisch",,,,423
426,Rohrglanzgras,Rohrglanzgras,Rohrglanzgras,Klee ( nicht ÖVF),"Bockshornklee, Schabzieger Klee","Bockshornklee, Schabzieger Klee","Bockshornklee, Schabzieger Klee","Bockshornklee, Schabzieger Klee","Bockshornklee, Schabzieger Klee","Bockshornklee, Schabzieger Klee","Bockshornklee, Schabzieger Klee","Bockshornklee, Schabziger Klee","Bockshornklee, Schabziger Klee","Bockshornklee, Schabziger Klee","Rohrglanzgras, Klee ( nicht ÖVF), Bockshornklee, Schabzieger Klee, Bockshornklee, Schabziger Klee",1,,,
427,Sonstiges Getreide als Ganzpflanzensilage,Sonstiges Getreide als Ganzpflanzensilage,,,"Hornklee, Hornschotenklee2","Hornklee, Hornschotenklee","Hornklee, Hornschotenklee","Hornklee, Hornschotenklee","Hornklee, Hornschotenklee","Hornklee, Hornschotenklee","Hornklee, Hornschotenklee","Hornklee, Hornschotenklee","Hornklee, Hornschotenklee","Hornklee, Hornschotenklee","Sonstiges Getreide als Ganzpflanzensilage, Hornklee, Hornschotenklee2, Hornklee, Hornschotenklee",1,,,
429,alle anderen Futterpflanzen auf Ackerland,alle anderen Futterpflanzen auf Ackerland,,"Futterpflanze einer Gattung/Art, die in der aktuellen Liste nicht
aufgeführt ist1",,,,,Esparsette,,Esparsette,,Esparsette,Esparsette,"alle anderen Futterpflanzen auf Ackerland, Futterpflanze einer Gattung/Art, die in der aktuellen Liste nicht
aufgeführt ist1, Esparsette",,,,
430,,,,"Futterpflanze einer Gattung/Art, die in der aktuellen Liste nicht",Serradella2,Serradella,Serradella,Serradella,Serradella,Serradella,Serradella,Serradella,Serradella,Serradella,"Futterpflanze einer Gattung/Art, die in der aktuellen Liste nicht, Serradella2, Serradella",,,,
431,,,,,Steinklee2,Steinklee,Steinklee,Steinklee,Steinklee,Steinklee,Steinklee,Steinklee,Steinklee,Steinklee,"Steinklee2, Steinklee",,,,
441,Dauergrünlandneueinsaat als Ersatz für genehmigten Dauergrünlandumbruch,Dauergrünlandneueinsaat als Ersatz für genehmigten Dauergrünlandumbruch,Dauergrünlandneueinsaat als Ersatz für genehmigten Dauergrünlandumbruch,"Dauergrünlandneueinsaat als Ersatz für genehmigten
Dauergrünlandumbruch","Dauergrünlandneueinsaat als Ersatz für genehmigten
Dauergrünlandumbruch",,Wiesen (Grünlandneueinsaat im Rahmen von AUKM),,Wiesen (Grünlandneueinsaat im Rahmen von AUKM),,Wiesen (Grünlandneueinsaat im Rahmen von AUKM),Wiesen (Grünlandneueinsaat im Rahmen von AUKM),Wiesen (Grünlandneueinsaat im Rahmen von AUKM),Wiesen (Grünlandneueinsaat im Rahmen von AUKM),"Dauergrünlandneueinsaat als Ersatz für genehmigten Dauergrünlandumbruch, Dauergrünlandneueinsaat als Ersatz für genehmigten
Dauergrünlandumbruch, Wiesen (Grünlandneueinsaat im Rahmen von AUKM)",,,,444
444,,,,,,"DGL Neueinsaat als Ersatz für genehmigten DGL Umbruch
(29.11.2016)",,DGL Neueinsaat als Ersatz für genehmigten DGL Umbruch,DGL Neueinsaat als Ersatz für genehmigten DGL Umbruch,DGL Neueinsaat als Ersatz für genehmigten DGL Umbruch,DGL Neueinsaat als Ersatz für genehmigten DGL Umbruch,DGL Neueinsaat als Ersatz für genehmigten DGL Umbruch,DGL Neueinsaat als Ersatz für genehmigten DGL Umbruch,DGL Neueinsaat als Ersatz für genehmigten DGL Umbruch,"DGL Neueinsaat als Ersatz für genehmigten DGL Umbruch
(29.11.2016), DGL Neueinsaat als Ersatz für genehmigten DGL Umbruch",,,,
462,beweidete Sandheiden,beweidete Sandheiden,,Beweidete Sandheiden,Beweidete Sandheiden,Beweidete Sandheiden,Beweidete Sandheiden,Beweidete Sandheiden,Beweidete Sandheiden,Beweidete Sandheiden,Beweidete Sandheiden,Beweidete Sandheiden,Beweidete Sandheiden,Beweidete Sandheiden,"beweidete Sandheiden, Beweidete Sandheiden",1,,,
463,beweidete Moorheiden,beweidete Moorheiden,,Beweidete Moorheiden,Beweidete Moorheiden,Beweidete Moorheiden,Beweidete Moorheiden,Beweidete Moorheiden,Beweidete Moorheiden,Beweidete Moorheiden,Beweidete Moorheiden,Beweidete Moorheiden,Beweidete Moorheiden,Beweidete Moorheiden,"beweidete Moorheiden, Beweidete Moorheiden",1,,,
464,beweideter Magerrasen,beweideter Magerrasen,beweideter Magerrasen,Beweidete Magerrasen,Beweidete Magerrasen,Beweidete Magerrasen,Beweidete Magerrasen,Beweidete Magerrasen,Beweidete Magerrasen,Beweidete Magerrasen,Beweidete Magerrasen,Beweidete Magerrasen,Beweidete Magerrasen,Beweidete Magerrasen,"beweideter Magerrasen, Beweidete Magerrasen",1,,,
465,beweidete montane Wiesen,beweidete montane Wiesen,beweidete montane Wiesen,Beweidete montane Wiesen,Beweidete montane Wiesen,Beweidete montane Wiesen,Beweidete montane Wiesen,Beweidete montane Wiesen,Beweidete montane Wiesen,Beweidete montane Wiesen,Beweidete montane Wiesen,Beweidete montane Wiesen,Beweidete montane Wiesen,Beweidete montane Wiesen,"beweidete montane Wiesen, Beweidete montane Wiesen",1,,,
466,gemähter Magerrasen,gemähter Magerrasen,gemähter Magerrasen,Gemähte Magerrasen,Gemähte Magerrasen,Gemähte Magerrasen,Gemähte Magerrasen,Gemähte Magerrasen,Gemähte Magerrasen,Gemähte Magerrasen,Gemähte Magerrasen,Gemähte Magerrasen,Gemähte Magerrasen,Gemähte Magerrasen,"gemähter Magerrasen, Gemähte Magerrasen",1,,,
467,gemähte montane Wiesen,gemähte montane Wiesen,gemähte montane Wiesen,Gemähte montane Wiesen,Gemähte montane Wiesen,Gemähte montane Wiesen,Gemähte montane Wiesen,Gemähte montane Wiesen,Gemähte montane Wiesen,Gemähte montane Wiesen,Gemähte montane Wiesen,Gemähte montane Wiesen,Gemähte montane Wiesen,Gemähte montane Wiesen,"gemähte montane Wiesen, Gemähte montane Wiesen",1,,,
491,,,,"Natürliche Flächen, auf denen eine Mindesttätigkeit gesondert
nachgewiesen werden muss (vgl. Art. 4 Abs. 1 Bst. C iii der
VO (EU) Nr. 1307/2013)","Natürliche Flächen, auf denen eine Mindesttätigkeit gesondert
nachgewiesen werden muss (vgl. Art. 4 Abs. 1 Bst. C iii der
VO (EU) Nr. 1307/2013)",,,,Anteil an Gemeinschaftsweiden,,Anteil an Gemeinschaftsweiden,,Anteil an Gemeinschaftsweiden,Anteil an Gemeinschaftsweiden,"Natürliche Flächen, auf denen eine Mindesttätigkeit gesondert
nachgewiesen werden muss (vgl. Art. 4 Abs. 1 Bst. C iii der
VO (EU) Nr. 1307/2013), Anteil an Gemeinschaftsweiden",,,,
492,,,,Dauerweiden unter etablierten lokalen Praktiken (Z.B. Heide),Dauerweiden unter etablierten lokalen Praktiken (z.B. Heide),Dauergrünland unter etablierten lokalen Praktiken (z.B. Heide),Dauergrünland unter etablierten lokalen Praktiken (z.B. Heide),Dauergrünland unter etablierten lokalen Praktiken (z.B. Heide),Dauergrünland unter etablierten lokalen Praktiken (z.B. Heide),Dauergrünland unter etablierten lokalen Praktiken (z.B. Heide),Dauergrünland unter etablierten lokalen Praktiken (z.B. Heide),Dauergrünland unter etablierten lokalen Praktiken (z.B. Heide),Dauergrünland unter etablierten lokalen Praktiken (z.B. Heide),Dauergrünland unter etablierten lokalen Praktiken (z.B. Heide),"Dauerweiden unter etablierten lokalen Praktiken (Z.B. Heide), Dauerweiden unter etablierten lokalen Praktiken (z.B. Heide), Dauergrünland unter etablierten lokalen Praktiken (z.B. Heide)",1,,,
493,,,,,,"Natürliche Flächen, auf denen eine Mindesttätigkeit gesondert",,,,,,"Dauergrünland nach Praktiken (LR-Typ FFH, Arten VS-RL (§7 (7)
GAPDZV))","Dauergrünland unter etablierten lokalen Praktiken (LR-Typ FFH, Arten VS-RL (§7 (7)","Dauergrünland unter etablierten lokalen Praktiken (LR-Typ FFH, Arten VS-RL (§7 (7)","Natürliche Flächen, auf denen eine Mindesttätigkeit gesondert, Dauergrünland nach Praktiken (LR-Typ FFH, Arten VS-RL (§7 (7)
GAPDZV)), Dauergrünland unter etablierten lokalen Praktiken (LR-Typ FFH, Arten VS-RL (§7 (7)",1,,,
510,,,,,Goldrute,Goldrute,Goldrute,Goldrute (Solidago),Goldrute (Solidago),Goldrute (Solidago),Goldrute (Solidago),Goldrute (Solidago),Goldrute (Solidago),Goldrute (Solidago),"Goldrute, Goldrute (Solidago)",1,,,
549,,,,,,,,,"Stilllegung für Naturschutz und Landschaftspflege (5-Jahresprogramm) (auf
AL)",,,,Stilllegung für Naturschutz und Landschaftspflege (5-Jahresprogramm) (auf AL),Stilllegung für Naturschutz und Landschaftspflege (5-Jahresprogramm) (auf AL),"Stilllegung für Naturschutz und Landschaftspflege (5-Jahresprogramm) (auf
AL), Stilllegung für Naturschutz und Landschaftspflege (5-Jahresprogramm) (auf AL)",,1,,
555,20-jährige Stilllegung (Acker),20-jährige Stilllegung (Acker),,20-jährig hier Stilllegung,20-jährige Flächenstilllegung,"Stillgelegte Fläche gem. FLAMA, 20-jährige hier: Ökologische
Stilllegung ab 1999","Stillgelegte Fläche gem. FLAMA, 20-jährige hier: Ökologische
Stilllegung ab 1999",,"Stillgelegte Fläche gem. FLAMA, 20-jährig hier: Ökologische Stilllegung ab
1999",,,,,"Stillgelegte Fläche gem. FLAMA, 20-jährig hier: Ökologische Stilllegung ab
1999","20-jährige Stilllegung (Acker), 20-jährig hier Stilllegung, 20-jährige Flächenstilllegung, Stillgelegte Fläche gem. FLAMA, 20-jährige hier: Ökologische
Stilllegung ab 1999, Stillgelegte Fläche gem. FLAMA, 20-jährig hier: Ökologische Stilllegung ab
1999",,1,,
559,,,,,,,,,"Stilllegung für Naturschutz und Landschaftspflege (5-Jahresprogramm) (auf
GL)",,,"Stilllegung für Naturschutz und Landschaftspflege (5-
Jahresprogramm) (auf GL)",Stilllegung für Naturschutz und Landschaftspflege (5-Jahresprogramm) (auf GL),Stilllegung für Naturschutz und Landschaftspflege (5-Jahresprogramm) (auf GL),"Stilllegung für Naturschutz und Landschaftspflege (5-Jahresprogramm) (auf
GL), Stilllegung für Naturschutz und Landschaftspflege (5-
Jahresprogramm) (auf GL), Stilllegung für Naturschutz und Landschaftspflege (5-Jahresprogramm) (auf GL)",,1,,
560,,,,,,,,,Brache im Rahmen einer VNS-Maßnahme,,Brache im Rahmen einer VNS-Maßnahme,Brache im Rahmen einer AUKM VNS-Maßnahme,Brache im Rahmen einer VNS-Maßnahme,Brache im Rahmen einer VNS-Maßnahme,"Brache im Rahmen einer VNS-Maßnahme, Brache im Rahmen einer AUKM VNS-Maßnahme",,1,,
563,Erstaufforstungsflächen auf Ackerflächen zur Aktivierung von ZA,Erstaufforstungsflächen auf Ackerflächen zur Aktivierung von ZA,,Erstaufforstungsflächen auf Ackerflächen nach VO,"Erstaufforstungsflächen auf Ackerflächen nach VO
1257/1999 oder VO (EG) Nr. 1698/2005 oder VO 1305/2013",,,,nach Art. 22 bis 24 der VO (EG) Nr. 1257/99 stillgelegte Ackerfläche,,nach Art. 22 bis 24 der VO (EG) Nr. 1257/99 stillgelegte Ackerfläche,,nach Art. 22 bis 24 der VO (EG) Nr. 1257/99 oder VO 2021/2115 stillgelegte,nach Art. 22 bis 24 der VO (EG) Nr. 1257/99 oder VO 2021/2115 stillgelegte,"Erstaufforstungsflächen auf Ackerflächen zur Aktivierung von ZA, Erstaufforstungsflächen auf Ackerflächen nach VO, Erstaufforstungsflächen auf Ackerflächen nach VO
1257/1999 oder VO (EG) Nr. 1698/2005 oder VO 1305/2013, nach Art. 22 bis 24 der VO (EG) Nr. 1257/99 stillgelegte Ackerfläche, nach Art. 22 bis 24 der VO (EG) Nr. 1257/99 oder VO 2021/2115 stillgelegte",,1,,
564,,,,,,"nach VO 1257/1999 oder VO (EG) Nr. 1698/2005 oder VO
1305/2013 aufgeforstete Flächen","nach VO 1257/1999 oder VO (EG) Nr. 1698/2005 oder VO
1305/2013 aufgeforstete Flächen","Aufgeforstete Flächen auf Ackerland oder Dauergrünland mit
Antrag auf Erstaufforstung","Aufgeforstete Flächen auf Ackerland oder Dauergrünland mit Antrag auf
Erstaufforstung",,,"Nicht landwirtschaftliche, aber §11 (1) Nr.3 Bst. c) der GAPDZV
förderfähige Fläche (Aufforstungsverpflichtung nach VO 1257/1999
oder VO (EG) Nr. 1698/2005 oder VO 1305/2013 oder VO 2021/2115
oder bei Eingehung damit in Einklang stehender öffentlich finanzierter
Maßnahme aufgeforstete Fläche)","Nicht landwirtschaftliche, aber §11 (1) Nr.3 Bst. c) der GAPDZV förderfähige Fläche
(Aufforstungsverpflichtung nach VO 1257/1999 oder VO (EG) Nr. 1698/2005 oder VO
1305/2013 oder VO 2021/2115 oder bei Eingehung damit in Einklang stehender
öffentlich fin","Nicht landwirtschaftliche, aber §11 (1) Nr.3 Bst. c) der GAPDZV förderfähige Fläche
(Aufforstungsverpflichtung nach VO 1257/1999 oder VO (EG) Nr. 1698/2005 oder VO
1305/2013 oder VO 2021/2115 oder bei Eingehung damit in Einklang stehender
öffentlich fin","nach VO 1257/1999 oder VO (EG) Nr. 1698/2005 oder VO
1305/2013 aufgeforstete Flächen, Aufgeforstete Flächen auf Ackerland oder Dauergrünland mit
Antrag auf Erstaufforstung, Aufgeforstete Flächen auf Ackerland oder Dauergrünland mit Antrag auf
Erstaufforstung, Nicht landwirtschaftliche, aber §11 (1) Nr.3 Bst. c) der GAPDZV
förderfähige Fläche (Aufforstungsverpflichtung nach VO 1257/1999
oder VO (EG) Nr. 1698/2005 oder VO 1305/2013 oder VO 2021/2115
oder bei Eingehung damit in Einklang stehender öffentlich finanzierter
Maßnahme aufgeforstete Fläche), Nicht landwirtschaftliche, aber §11 (1) Nr.3 Bst. c) der GAPDZV förderfähige Fläche
(Aufforstungsverpflichtung nach VO 1257/1999 oder VO (EG) Nr. 1698/2005 oder VO
1305/2013 oder VO 2021/2115 oder bei Eingehung damit in Einklang stehender
öffentlich fin",,1,,
567,Erstaufforstungsflächen auf Dauergrünlandflächen zur Aktivierung von ZA,Erstaufforstungsflächen auf Dauergrünlandflächen zur Aktivierung von ZA,,"Erstaufforstungsflächen auf Dauergrünlandflächen nach VO
1257/1999 oder VO (EG) Nr. 1698/2005 oder VO 1305/2013","Erstaufforstungsflächen auf Dauergrünlandflächen nach VO
1257/1999 oder VO (EG) Nr. 1698/2005 oder VO 1305/2013",,,,nach Art. 22 bis 24 der VO (EG) Nr. 1257/99 stillgelegte Dauergrünlandfläche,,nach Art. 22 bis 24 der VO (EG) Nr. 1257/99 stillgelegte Dauergrünlandfläche,nach Art. 22 bis 24 der VO (EG) Nr. 1257/99 oder VO 2021/2115,nach Art. 22 bis 24 der VO (EG) Nr. 1257/99 oder VO 2021/2115 stillgelegte,nach Art. 22 bis 24 der VO (EG) Nr. 1257/99 oder VO 2021/2115 stillgelegte,"Erstaufforstungsflächen auf Dauergrünlandflächen zur Aktivierung von ZA, Erstaufforstungsflächen auf Dauergrünlandflächen nach VO
1257/1999 oder VO (EG) Nr. 1698/2005 oder VO 1305/2013, nach Art. 22 bis 24 der VO (EG) Nr. 1257/99 stillgelegte Dauergrünlandfläche, nach Art. 22 bis 24 der VO (EG) Nr. 1257/99 oder VO 2021/2115, nach Art. 22 bis 24 der VO (EG) Nr. 1257/99 oder VO 2021/2115 stillgelegte",,1,,
568,Erstaufforstungsflächen auf Dauergrünlandflächen ohne Aktivierung von ZA,Erstaufforstungsflächen auf Dauergrünlandflächen ohne Aktivierung von ZA,,,,,,,"aufgeforstete Dauergrünlandflächen, weder nach CO 1257/99 oder VO
1698/2005 oder VO 1305/2013",,,,"aufgeforstete Dauergrünlandflächen, weder nach VO 1257/99 oder VO 1698/2005
oder VO 1305/2013","aufgeforstete Dauergrünlandflächen, weder nach VO 1257/99 oder VO 1698/2005
oder VO 1305/2013","Erstaufforstungsflächen auf Dauergrünlandflächen ohne Aktivierung von ZA, aufgeforstete Dauergrünlandflächen, weder nach CO 1257/99 oder VO
1698/2005 oder VO 1305/2013, aufgeforstete Dauergrünlandflächen, weder nach VO 1257/99 oder VO 1698/2005
oder VO 1305/2013",,1,,
573,,,,,,,Uferrandstreifenprogramm,Uferrandstreifenprogramm,Uferrandstreifenprogramm,Uferrandstreifenprogramm (nur für Flächen mit AUM BS 7.2),Uferrandstreifenprogramm (nur für Flächen mit AUM BS 7.2),Uferrandstreifenprogramm,Uferrandstreifenprogramm,Uferrandstreifenprogramm,"Uferrandstreifenprogramm, Uferrandstreifenprogramm (nur für Flächen mit AUM BS 7.2)",,1,,
574,,,,,,Blühstreifen einjährig (MSL-Maßnahme),Blühstreifen einjährig (MSL-Maßnahme),Blühstreifen (nur für Flächen mit AUM-BS 1 zu verwenden),Blühstreifen (nur für Flächen mit AUM-BS 1 zu verwenden),Blühstreifen (nur für Flächen mit AUM-BS 1 zu verwenden),Blühstreifen (nur für Flächen mit AUM-BS 1 zu verwenden),Blühstreifen (AUKM-Maßnahme) einjährig,Blühstreifen (AUKM-Maßnahme),Blühstreifen (AUKM-Maßnahme),"Blühstreifen einjährig (MSL-Maßnahme), Blühstreifen (nur für Flächen mit AUM-BS 1 zu verwenden), Blühstreifen (AUKM-Maßnahme) einjährig, Blühstreifen (AUKM-Maßnahme)",,1,,
575,,,,,,Blühfläche einjährig (MSL-Maßnahme),Blühfläche einjährig (MSL-Maßnahme),Blühfläche (nur für Flächen mit AUM-BS 1 zu verwenden),Blühfläche (nur für Flächen mit AUM-BS 1 zu verwenden),Blühfläche (nur für Flächen mit AUM-BS 1 zu verwenden),Blühfläche (nur für Flächen mit AUM-BS 1 zu verwenden),Blühfläche (AUKM-Maßnahme) einjährig,Blühfläche (AUKM-Maßnahme),Blühfläche (AUKM-Maßnahme),"Blühfläche einjährig (MSL-Maßnahme), Blühfläche (nur für Flächen mit AUM-BS 1 zu verwenden), Blühfläche (AUKM-Maßnahme) einjährig, Blühfläche (AUKM-Maßnahme)",,1,,
576,,,,,,Schutzstreifen Erosion AUM-FM,Schutzstreifen Erosion,"Schutzstreifen Erosion (nur für Flächen mit AUM-BS 7.1 zu
verwenden)",Schutzstreifen Erosion (nur für Flächen mit AUM-BS 7.1 zu verwenden),Schutzstreifen Erosion (nur für Flächen mit AUM-BS 7.1 zu verwenden),Schutzstreifen Erosion (nur für Flächen mit AUM-BS 7.1 zu verwenden),Schutzstreifen Erosion,Schutzstreifen Erosion,Schutzstreifen Erosion,"Schutzstreifen Erosion AUM-FM, Schutzstreifen Erosion, Schutzstreifen Erosion (nur für Flächen mit AUM-BS 7.1 zu
verwenden), Schutzstreifen Erosion (nur für Flächen mit AUM-BS 7.1 zu verwenden)",,1,,
581,,,,Heckenpflanzung Erosionsschutz,Heckenpflanzung Erosionsschutz,,,,Grünbrache 1-jährig,,Grünbrache 1-jährig,,Grünbrache 1-jährig,Grünbrache 1-jährig,"Heckenpflanzung Erosionsschutz, Grünbrache 1-jährig",,1,,
582,,,,Heckenpflanzung Vogelschutz,Heckenpflanzung Vogelschutz,,,,Grünbrache 2-jährig,,Grünbrache 2-jährig,,Grünbrache 2-jährig,Grünbrache 2-jährig,"Heckenpflanzung Vogelschutz, Grünbrache 2-jährig",,1,,
583,"nicht landwirtschaftliche, aber nach Art. 34 (2b (i)) der VO (EG) Nr. 73/2009 beihilfefähige Flächen","nicht landwirtschaftliche, aber nach Art. 34 (2b (i)) der VO (EG) Nr. 73/2009 beihilfefähige Flächen",,"Nicht landwirtschaftliche, aber nach Art. 32(2b (i)) der VO","Nicht landwirtschaftliche, aber nach Art. 32(2b (i)) der VO","Nicht landwirtschaftliche, aber nach Art. 32(2b (i)) der VO",,"Nicht landwirtschaftliche, aber nach Art. 32(2b (i)) der VO
(EG) Nr. 1307/2013 beihilfefähige Fläche (Naturschutzflächen,
die 2008 noch beihilfefähig waren)","Nicht landwirtschaftliche, aber nach Art. 32(2b (i)) der VO (EG) Nr. 1307/2013
beihilfefähige Fläche (Naturschutzflächen, die 2008 noch beihilfefähig waren)",,"1307/2013 beihilfefähige Fläche (Naturschutzflächen, die 2008 noch",,"Nicht landwirtschaftliche, aber nach §11 (1) Nr.3 Bst. d der GAPDZV förderfähige
Fläche (Stilllegungsverpflichtung nach VO 1257/1999 oder VO (EG) Nr. 1698/2005
oder VO 1305/2013 oder VO 2021/2115)","Nicht landwirtschaftliche, aber nach §11 (1) Nr.3 Bst. d der GAPDZV förderfähige
Fläche (Stilllegungsverpflichtung nach VO 1257/1999 oder VO (EG) Nr. 1698/2005
oder VO 1305/2013 oder VO 2021/2115)","nicht landwirtschaftliche, aber nach Art. 34 (2b (i)) der VO (EG) Nr. 73/2009 beihilfefähige Flächen, Nicht landwirtschaftliche, aber nach Art. 32(2b (i)) der VO, Nicht landwirtschaftliche, aber nach Art. 32(2b (i)) der VO
(EG) Nr. 1307/2013 beihilfefähige Fläche (Naturschutzflächen,
die 2008 noch beihilfefähig waren), Nicht landwirtschaftliche, aber nach Art. 32(2b (i)) der VO (EG) Nr. 1307/2013
beihilfefähige Fläche (Naturschutzflächen, die 2008 noch beihilfefähig waren), 1307/2013 beihilfefähige Fläche (Naturschutzflächen, die 2008 noch, Nicht landwirtschaftliche, aber nach §11 (1) Nr.3 Bst. d der GAPDZV förderfähige
Fläche (Stilllegungsverpflichtung nach VO 1257/1999 oder VO (EG) Nr. 1698/2005
oder VO 1305/2013 oder VO 2021/2115)",,1,,
584,,,,,,,,,"Nicht landwirtschaftliche, aber nach Art. 32(2b (i)) der VO (EG) Nr. 1307/2013
beihilfefähige Fläche (Maßnahmen aus Natura2000)",,,"Nicht landwirtschaftliche, aber nach §11 (1) Nr.3 Bst. a) aa) oder cc)","Nicht landwirtschaftliche, aber nach §11 (1) Nr.3 Bst. a) aa) oder cc) der GAPDZV
förderfähige Fläche (Infolge Anwendung Natura2000)","Nicht landwirtschaftliche, aber nach §11 (1) Nr.3 Bst. a) aa) oder cc) der GAPDZV
förderfähige Fläche (Infolge Anwendung Natura2000)","Nicht landwirtschaftliche, aber nach Art. 32(2b (i)) der VO (EG) Nr. 1307/2013
beihilfefähige Fläche (Maßnahmen aus Natura2000), Nicht landwirtschaftliche, aber nach §11 (1) Nr.3 Bst. a) aa) oder cc), Nicht landwirtschaftliche, aber nach §11 (1) Nr.3 Bst. a) aa) oder cc) der GAPDZV
förderfähige Fläche (Infolge Anwendung Natura2000)",,1,,
585,,,,,,,,,"Nicht landwirtschaftliche, aber nach Art. 32(2b (i)) der VO (EG) Nr. 1307/2013
beihilfefähige Fläche (Maßnahmen aus der Wasserrahmenrichtlinie)",,1307/2013 beihilfefähige Fläche (Maßnahmen aus der,,"Nicht landwirtschaftliche, aber nach §11 (1) Nr.3 Bst. a) bb) der GAPDZV förderfähige","Nicht landwirtschaftliche, aber nach §11 (1) Nr.3 Bst. a) bb) der GAPDZV förderfähige","Nicht landwirtschaftliche, aber nach Art. 32(2b (i)) der VO (EG) Nr. 1307/2013
beihilfefähige Fläche (Maßnahmen aus der Wasserrahmenrichtlinie), 1307/2013 beihilfefähige Fläche (Maßnahmen aus der, Nicht landwirtschaftliche, aber nach §11 (1) Nr.3 Bst. a) bb) der GAPDZV förderfähige",,1,,
