kulturcode,kulturart 2012,kulturart 2013,kulturart 2014,kulturart 2015,kulturart 2016,kulturart 2017,kulturart 2018,kulturart 2019,kulturart 2020,kulturart 2021,kulturart 2022,kulturart 2023,kulturart 2024,latest_kulturart,all_kulturart,take_latest,take_Gruppe,new_kulturart,new_kulturcode
774,,,,Lonas (Gelber Leberbalsam),Lonas (Gelber Leberbalsam),Gelber Leberbalsam (Lonas),Gelber Leberbalsam (Lonas),Gelber Leberbalsam (Lonas),Gelber Leberbalsam (Lonas),Gelber Leberbalsam (Lonas),Gelber Leberbalsam (Lonas),Gelber Leberbalsam (Lonas),Gelber Leberbalsam (Lonas),Gelber Leberbalsam (Lonas),"Lonas (Gelber Leberbalsam), Gelber Leberbalsam (Lonas)",,,,
776,,,,"Veilchen (Horn-Veilchen, Garten-Stiefmütterchen, Wildes
Stiefmütterchen)","Veilchen (Hornveilchen, Gartenstiefmütterchen, Wildes
Stiefmütterchen)","Veilchen (Hornveilchen, Gartenstiefmütterchen, Wildes
Stiefmütterchen)","Veilchen (Hornveilchen, Gartenstiefmütterchen, Wildes
Stiefmütterchen)","Veilchen (Hornveilchen, Gartenstiefmütterchen, Wildes
Stiefmütterchen)","Veilchen (Horn-Veilchen, Garten-Stiefmütterchen, Wildes Stiefmütterchen)","Veilchen (Horn-Veilchen, Garten-Stiefmütterchen, Wildes Stiefmütterchen)","Veilchen (Horn-Veilchen, Garten-Stiefmütterchen, Wildes Stiefmütterchen)","Veilchen (Horn-Veilchen, Garten-Stiefmütterchen, Wildes
Stiefmütterchen)","Veilchen (Horn-Veilchen, Garten-Stiefmütterchen, Wildes Stiefmütterchen)","Veilchen (Horn-Veilchen, Garten-Stiefmütterchen, Wildes Stiefmütterchen)","Veilchen (Horn-Veilchen, Garten-Stiefmütterchen, Wildes
Stiefmütterchen), Veilchen (Hornveilchen, Gartenstiefmütterchen, Wildes
Stiefmütterchen), Veilchen (Horn-Veilchen, Garten-Stiefmütterchen, Wildes Stiefmütterchen)",,,,
777,,,,,Phacelie (als Hauptkultur z.B. Saatgutvermehrung),Phacelie (als Hauptkultur z.B. Saatgutvermehrung),Phacelie (als Hauptkultur z.B. Saatgutvermehrung),Phacelie (als Hauptkultur z.B. Saatgutvermehrung),Phacelia (als Hauptkultur z.B. Saatgutvermehrung),Phacelia (als Hauptkultur z.B. Saatgutvermehrung),Phacelia (als Hauptkultur z.B. Saatgutvermehrung),Phacelia (als Hauptkultur z.B. Saatgutvermehrung),Phacelia (als Hauptkultur z.B. Saatgutvermehrung),Phacelia (als Hauptkultur z.B. Saatgutvermehrung),"Phacelie (als Hauptkultur z.B. Saatgutvermehrung), Phacelia (als Hauptkultur z.B. Saatgutvermehrung)",,,,
781,,,,,Calla/Zantedeschia,Calla/Drachenwurz,Calla/Drachenwurz,Calla/Drachenwurz,Calla/Drachenwurz,Calla/Drachenwurz,Calla/Drachenwurz,Calla/Drachenwurz,Calla/Drachenwurz,Calla/Drachenwurz,"Calla/Zantedeschia, Calla/Drachenwurz",,,,
790,Alle anderen Handelsgewächse (außer Dauerkulturen),Alle anderen Handelsgewächse (außer Dauerkulturen),,,"Anemonen (Herbstanemone, Japanische Anemone)","Anemonen (Herbstanemone, Japanische Anemone)","Anemonen (Herbstanemone, Japanische Anemone)","Anemonen (Herbstanemone, Japanische Anemone)","Anemonen (Herbstanemone, Japanische Anemone)","Anemonen (Herbstanemone, Japanische Anemone)","Anemonen (Herbstanemone, Japanische Anemone)","Anemonen (Herbstanemone, Japanische Anemone)","Anemonen (Herbstanemone, Japanische Anemone)","Anemonen (Herbstanemone, Japanische Anemone)","Alle anderen Handelsgewächse (außer Dauerkulturen), Anemonen (Herbstanemone, Japanische Anemone)",,,,
791,Gartenbausämerei (Zierpflanzen),Gartenbausämerei (Zierpflanzen),,,Knollenbegonien,Knollenbegonien,Knollenbegonien,Knollenbegonien,Knollenbegonien,Knollenbegonien,Knollenbegonien,Knollenbegonien,Knollenbegonien,Knollenbegonien,"Gartenbausämerei (Zierpflanzen), Knollenbegonien",,,,
792,Gartenbausämerei (Obst und Gemüse),Gartenbausämerei (Obst und Gemüse),,,Kornrade,Kornrade,Kornrade,Kornrade,Kornrade,Kornrade,Kornrade,Kornrade,Kornrade,Kornrade,"Gartenbausämerei (Obst und Gemüse), Kornrade",,,,
793,Hanf,Hanf,,,Leimkraut/Taubenkropf-Leimkraut,Leimkraut/Taubenkropf-Leimkraut,Leimkraut/Taubenkropf-Leimkraut,Leimkraut/Taubenkropf-Leimkraut,Leimkraut/Taubenkropf-Leimkraut,Leimkraut/Taubenkropf-Leimkraut,Leimkraut/Taubenkropf-Leimkraut,Leimkraut/Taubenkropf-Leimkraut,Leimkraut/Taubenkropf-Leimkraut,Leimkraut/Taubenkropf-Leimkraut,"Hanf, Leimkraut/Taubenkropf-Leimkraut",,,,
801,,,,"Energiepflanze einer Gattung/Art, die in der aktuellen Liste
nicht aufgeführt ist1",,,,,"Energiepflanze einer Gattung/Art, die in der aktuellen Liste nicht aufgeführt ist",,,,"Energiepflanze einer Gattung/Art, die in der aktuellen Liste nicht aufgeführt ist","Energiepflanze einer Gattung/Art, die in der aktuellen Liste nicht aufgeführt ist","Energiepflanze einer Gattung/Art, die in der aktuellen Liste
nicht aufgeführt ist1, Energiepflanze einer Gattung/Art, die in der aktuellen Liste nicht aufgeführt ist",,,,
802,,,,"Silphium (Durchwachsene Silphie, Becherpflanze)","Silphium (Durchwachsene Silphie, Becherpflanze)","Silphium (Durchwachsene Silphie, Becherpflanze)","Silphium (Durchwachsene Silphie, Becherpflanze)","Silphium (Durchwachsene Silphie, Becherpflanze)","Silphium (Durchwachsene Silphie, Becherpflanze)","Silphium (Durchwachsene Silphie, Becherpflanze)","Silphium (Durchwachsene Silphie, Becherpflanze)","Silphium* (Durchwachsene Silphie, Becherpflanze)","Silphium (Durchwachsene Silphie, Becherpflanze)","Silphium (Durchwachsene Silphie, Becherpflanze)","Silphium (Durchwachsene Silphie, Becherpflanze), Silphium* (Durchwachsene Silphie, Becherpflanze)",,,,
